USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
724284,63825,BOLTON FIELD AIRPORT,US,OH,KTZR,39.9,-83.133,275.8,20060101,20200212
724285,13812,RICKENBACKER INTL AIRPORT,US,OH,KLCK,39.817,-82.933,226.8,19420801,20200212
724286,93824,ZANESVILLE MUNICIPAL ARPT,US,OH,KZZV,39.944,-81.892,268.2,19730101,20200212
724287,4848,METCALF FIELD AIRPORT,US,OH,KTDZ,41.563,-83.476,189.6,20060101,20200212
724288,4804,OHIO STATE UNIVERSITY ARPT,US,OH,KOSU,40.078,-83.078,275.8,20060101,20200212
724290,93815,J.M.COX DAYTON INTERNATIONAL AIRPORT,US,OH,KDAY,39.906,-84.219,305.7,19730101,20200212
724293,376,MOUNT WERNER,US,CO,K3MW,40.46,-106.76,3241.2,20050322,20140721
724294,53844,FAIRFIELD COUNTY AIRPORT,US,OH,KLHQ,39.756,-82.657,264.9,20060101,20200212
724295,3867,SPRINGFIELD BECKLEY,US,OH,KSGH,39.833,-83.833,320,19730103,19991229
724295,63888,SPRINGFIELD-BECKLEY MUNICIPAL AIRPORT,US,OH,KSGH,39.84,-83.84,320.3,20060103,20200212
724296,13841,AIRBORNE AIRPARK AIRPORT,US,OH,KILN,39.431,-83.777,325.2,19430801,20200212
724297,93812,CINA MUNI APT/LUKN FD APT,US,OH,KLUK,39.103,-84.419,149.4,19730101,20200212
724298,4850,LIMA ALLEN COUNTY AIRPORT,US,OH,KAOH,40.708,-84.027,297.2,20060101,20200212
724303,14813,AKRON FULTON INTL AIRPORT,US,OH,KAKR,41.038,-81.464,318.2,19990502,20200212
724320,93817,EVANSVILLE REGIONAL AIRPORT,US,IN,KEVV,38.044,-87.521,121.9,19730101,20200212
724330,3879,SALEM-LECKRONE AIRPORT,US,IL,KSLO,38.65,-88.967,173.7,20060101,20200211
724335,93894,MOUNT VERNON AIRPORT,US,IL,KMVN,38.323,-88.858,146.3,20060101,20200212
724336,93810,SOUTHERN ILLINOIS AIRPORT,US,IL,KMDH,37.78,-89.25,123.8,20060101,20200212
724337,3838,VANDALIA FAA AIRPORT,US,IL,KVLA,38.983,-89.167,,19730101,19730515
724338,13802,SCOTT AIR FORCE BASE/MIDAMERICA AIRPORT,US,IL,KBLV,38.55,-89.85,139.9,19380101,20200212
724339,3865,WILLIAMSON COUNTY RGNL APT,US,IL,KMWA,37.75,-89,140.2,20060101,20200212
