zip,lat,lng,city,state_id,population,density,county_fips,timezone,zip0,weather_station_wmo_2024,hdd_base65F_2024,cdd_base65F_2024,distance_location_station_miles_2024,EPW_file_name_2024,Tdb_holes_2024,Tdew_holes_2024,RH_holes_2024,EnergyPlus Status,Missing Data,Extreme Temperature,Sudden Temp Jumps,Constant Temp Periods,Day-Night Swings,Summer Freezing,Winter Extreme Heat,Missing Temperature Data
13112,43.10146,-76.41846,Memphis,NY,1843,35.1,36067,America/New_York,13112,72519,5243.0,959.0,16.09817356,72519_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
53581,43.37272,-90.41141,Richland Center,WI,10131,16.4,55103,America/Chicago,53581,KLNR0,5865.0,669.0,16.09776992,KLNR0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
77316,30.31022,-95.67997,Montgomery,TX,24199,74.0,48339,America/Chicago,77316,KCXO0,1315.0,2969.0,16.09752018,KCXO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
31790,31.65164,-83.56899,Sycamore,GA,1788,10.7,13287,America/New_York,31790,KTMA0,1565.0,2441.0,16.09657967,KTMA0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
93201,35.85875,-119.48758,Alpaugh,CA,1431,7.1,6107,America/Los_Angeles,93201,KPTV0,2318.0,2393.0,26.53672047,KPTV0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
15637,40.26497,-79.71185,Herminie,PA,1530,126.5,42129,America/New_York,15637,72520,4342.0,1192.0,24.00920009,72520_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
68950,40.46178,-98.66943,Holstein,NE,386,3.1,31001,America/Chicago,68950,KHSI0,5279.0,1081.0,16.0954545,KHSI0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
73627,35.20292,-99.45349,Carter,OK,465,1.8,40009,America/Chicago,73627,KELK0,3180.0,2266.0,16.09472068,KELK0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
51455,41.91142,-95.05564,Manning,IA,2347,8.2,19027,America/Chicago,51455,KADU0,5720.0,804.0,16.09378772,KADU0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
65746,37.14712,-92.77841,Seymour,MO,8652,18.5,29225,America/Chicago,65746,72440,3572.0,1551.0,16.09110983,72440_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
98548,47.43003,-123.33218,Hoodsport,WA,2405,6.8,53045,America/Los_Angeles,98548,KPWT0,5325.0,178.0,26.82975566,KPWT0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
53517,43.03593,-89.8317,Blue Mounds,WI,1872,16.3,55025,America/Chicago,53517,KLNR0,5865.0,669.0,21.35383549,KLNR0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
26448,39.4068,-80.49337,Wallace,WV,1618,16.6,54033,America/New_York,26448,KCKB0,4108.0,1099.0,16.08853478,KCKB0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
38924,33.29292,-90.22469,Cruger,MS,680,2.5,28015,America/Chicago,38924,KGWO0,1949.0,2719.0,16.08769832,KGWO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
65783,37.71731,-92.93339,Windyville,MO,117,2.6,29059,America/Chicago,65783,KLBO0,3700.0,1410.0,16.08762455,KLBO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
18444,41.33107,-75.55095,Moscow,PA,13615,44.9,42069,America/New_York,18444,KMPO0,6421.0,375.0,16.08699287,KMPO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
3586,44.22036,-71.79641,Sugar Hill,NH,629,14.5,33009,America/New_York,3586,72614,6746.0,482.0,17.39591238,72614_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
50622,42.67305,-92.3352,Denver,IA,3230,49.9,19017,America/Chicago,50622,KOLZ0,6084.0,655.0,18.33012216,KOLZ0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
14847,42.60396,-76.73981,Interlaken,NY,2395,23.7,36099,America/New_York,14847,KPEO0,5716.0,567.0,16.08214575,KPEO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
6384,41.58138,-71.83183,Voluntown,CT,2759,28.0,9011,America/New_York,6384,KWST0,5148.0,599.0,16.08195169,KWST0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
65330,39.21845,-92.94793,Gilliam,MO,415,3.4,29195,America/Chicago,65330,KMHL0,4354.0,1149.0,16.08177576,KMHL0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
