0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020,1,3,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.1,12.8,81.0,101180.0,711.33,1407.37,390.52,121.93,65.22,92.75,14365.14,5575.13,12185.87,2312.12,184.0,9.4,9.84,99,9999,99999,9,999999999,3.82,0.22,0.0,99,0.11,0.0,9
2020,1,3,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.1,12.8,81.0,101170.0,653.1,1407.33,396.42,146.7,55.74,115.64,16656.54,4649.33,13746.29,3689.56,230.0,5.4,9.8,99,9999,99999,9,999999999,3.93,0.24,0.0,99,0.11,0.0,9
2020,1,3,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,17.2,13.9,81.0,101120.0,528.3,1407.24,393.52,110.03,43.18,90.54,12482.8,3458.97,10773.77,2730.99,0.0,0.0,9.84,99,9999,99999,9,999999999,3.96,0.24,0.0,99,0.11,0.0,9
2020,1,3,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,17.2,13.9,81.0,101120.0,345.38,1406.98,393.55,63.05,37.92,51.29,7152.4,2690.68,6133.61,1446.71,0.0,5.4,9.77,99,9999,99999,9,999999999,4.01,0.25,0.0,99,0.11,0.0,9
2020,1,3,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.7,14.0,84.0,101160.0,117.03,1407.35,389.15,16.27,10.46,15.81,1845.66,474.89,1903.44,410.87,0.0,0.0,9.73,99,9999,99999,9,999999999,4.05,0.32,0.0,99,0.11,0.26666666666666666,9
2020,1,3,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.7,14.0,84.0,101080.0,0.0,0.0,381.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,5.4,9.08,99,9999,99999,9,999999999,4.09,0.32,0.0,99,999.0,0.5333333333333333,9
2020,1,3,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.1,14.5,90.0,101150.0,0.0,0.0,380.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,5.4,9.04,99,9999,99999,9,999999999,4.13,0.33,0.0,99,999.0,0.8,9
2020,1,3,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.1,14.5,90.0,101300.0,0.0,0.0,382.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,9.4,9.91,99,9999,99999,9,999999999,4.18,0.32,0.0,99,999.0,1.8,9
2020,1,3,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.6,14.0,90.0,101200.0,0.0,0.0,383.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,99,9999,99999,9,999999999,4.22,0.31,0.0,99,999.0,0.3,9
2020,1,3,22,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.6,14.0,90.0,101210.0,0.0,0.0,379.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97,99,9999,99999,9,999999999,4.25,0.3,0.0,99,999.0,1.3,9
2020,1,3,23,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.6,14.0,90.0,101110.0,0.0,0.0,390.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,99,9999,99999,9,999999999,4.29,0.29,0.0,99,999.0,0.2,9
